community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,lat,lng,address,community_id,growth
武康路274号,衡山路,衡山路,86,1.2,Null,4,2,37,74855,徐房建筑,31.2143,121.446,{武康路274号},5011000008971,0.28227376699
百龙新村,康桥,康桥,20,1.5,Null,11,6,30,18383,周康置业,31.1467,121.624,{百龙新村},5011000011613,0.153054998693
颛桥教师楼,颛桥,颛桥,Null,0,Null,2,2,0,24468,暂无信息,31.0767,121.409,{老沪闵路3196弄},5011102207020,0.18338349799
长乐路892号,静安寺,静安寺,Null,0,Null,4,3,0,100918,暂无信息,31.2224,121.453,{长乐路892号},5011102207859,0.28228662637
航华三村四街坊,航华,航华,20,0,Null,1182,98,0,39489,Null,31.1712,121.356,{航华三村227-367号},5010022184563016,0.256761033937
昆山路120号,北外滩,北外滩,Null,0,Null,2,2,0,34009,暂无信息,31.2556,121.495,{昆山路120号},5011000005800,0.282318185286
凌兆新村（凌兆路379弄）,三林,三林,21,1.45,Null,1437,84,40,46041,三林地产开发有限公司,31.1486,121.504,{凌兆路379弄},5011000001729,0.282262546581
宝地新品居,天山,天山,12,2.1,Null,180,6,40,74424,上海宝地长山房地产开发有限公司,31.2208,121.387,{双流路188弄1-6号},5011000013932,0.38653453734
中邦大都会,康桥,康桥,5,2.3,,670,9,35,47186,中邦置业集团有限公司,31.1418,121.58,{康沈路633弄},5011000000377,0.2822862598
建国西路136号,淮海中路,淮海中路,Null,0,Null,1,2,0,Null,暂无信息,31.2136,121.471,{建国西路136号},5011000009883,Null
大西小区,曲阳,曲阳,41,3.2,Null,1180,55,23,47106,上海宏阳投资管理有限公司,31.2819,121.502,"{大连西路195弄,大连西路165弄,天宝西路231弄}",5011000013507,0.326903642515
洛川路12号,甘泉宜川,甘泉宜川,29,0,Null,5,2,0,34204,宜川社区,31.2695,121.452,{洛川路12号},5011000005745,0.282314977298
甘泉苑,甘泉宜川,甘泉宜川,29,0,Null,2721,121,0,46161,西部集团,31.2764,121.436,"{平利路21弄,灵石路1082弄,志丹路501弄,平利路41弄,平利路87弄}",5011000018054,0.335154981589
宝林新苑,淞宝,淞宝,18,1.7,Null,352,33,24,39674,宝钢集团,31.407,121.499,{宝杨路555弄},5011000013425,0.445189219383
金辉兰湖美域,罗店,罗店,3,0,Null,511,52,0,27396,金辉集团,31.4168,121.359,{月罗路2333弄},5011000018552,0.282283057851
宣化路149号,中山公园,中山公园,78,0,Null,8,2,0,76981,暂无信息,31.2236,121.435,{宣化路149号},5011000008421,0.282290442804
凯德林茵湖畔（公寓）,华漕,华漕,9,0.71,Null,136,21,40,40380,上海奥顺置业有限公司,31.2154,121.288,"{金丰路55弄（东区）,幸乐路500弄（西区）}",5011000004256,0.282276669684
延虹公寓,金虹桥,金虹桥,13,1.07,Null,161,7,33,28497,上海绿海房地产有限公司,31.1947,121.384,{虹中路796弄},5011000016921,0.471794871795
新川路742弄,川沙,川沙,23,22,Null,122,13,3,31324,检查院,31.1973,121.698,{新川路742弄},5011000019517,0.28229288621
丹徒路210弄,北外滩,北外滩,30,1.8,Null,120,6,30,38145,上海中友房产,31.26,121.51,{丹徒路210弄},5011000000129,0.282270455086
中冶枫郡苑,枫泾,枫泾,3,2.55,板楼/塔板结合,535,56,52,8910,暂无信息,30.8945,121.02,{泾波路999弄},5011000002145,0.28221654601
昌鑫花园（别墅）,松江新城,松江新城,9,0.8,Null,233,234,40,46732,上海聚英房地产开发有限公司,31.0292,121.207,{思贤路1855弄},5011000012574,0.282303423947
湘江大厦,新华路,新华路,18,1.2,Null,153,2,35,29535,上海市闵行房地产总公司虹桥开发公司,31.1988,121.427,{中山西路1265弄18号},5011000018060,0.102288339046
巨鹿路546弄,静安寺,静安寺,86,0,Null,6,8,0,145480,暂无信息,31.2279,121.462,{巨鹿路546弄},5011000011314,0.282269177023
蒙自路212号,五里桥,五里桥,29,1,Null,18,2,22,62641,上海建房置业发展有限公司,31.2114,121.484,{蒙自路212号},5011000004851,Null
华腾苑,华新,华新,4,0,Null,70,13,0,16553,暂无信息,31.2411,121.207,{华腾路555弄},5011102208164,0.282280528029
雅士公寓,蓬莱公园,蓬莱公园,15,3.6,Null,204,6,25,64591,上海黄浦投资发展公司,31.214,121.503,{海潮路222弄},5011000016416,0.402805635101
西市街89号,川沙,川沙,Null,0,Null,0,1,0,29380,暂无信息,31.2025,121.708,{西市街89号},509821540057760,0.282287778447
领尚国际酒店公寓,古北,古北,13,2,Null,181,2,30,34873,上海市警备区第一干休所,31.199,121.421,{宋园路58号},5011000009413,0.268089122098
信达蓝尊,松江新城,松江新城,Null,0,板楼,1,1,0,26271,Null,31.0417,121.252,{松江区中山街道新城主城},5010841081262470,0.282233812401
花园公寓（卢湾）,新天地,新天地,90,0,Null,107,30,0,130450,上实房地产,31.2214,121.479,{复兴中路455弄},5011000014482,0.282273052697
华阳路60号,中山公园,中山公园,34,3,Null,26,2,30,33851,上海新长宁集团,31.2303,121.428,{华阳路60号},5011000004482,0.0417909418478
云雾山路9弄,中山公园,中山公园,29,2.5,Null,48,3,20,Null,新长宁开发商,31.2207,121.414,{云雾山路9弄},5011000005587,Null
闸二小区,中原,中原,23,0,Null,380,22,35,36828,五角场房地产开发有限公司,31.3364,121.536,{殷行路650弄},5011000004915,0.302913302913
英伦都市,海湾,海湾,Null,1.5,板楼,110,9,35,28641,暂无信息,30.8514,121.578,{海农公路1668弄},5011102206463,0.156577435085
新茂大楼,漕河泾,漕河泾,18,0,Null,94,9,0,22686,暂无信息,31.1686,121.403,{田州路99号},5011000015058,0.228236445527
虹桥1号,华漕,华漕,4,1.81,板楼,1268,65,35,31732,上海博锦房地产开发中心有限公司,31.2301,121.337,{北翟路2000弄51支弄},5011000011924,0.282326184628
延庆路38号,衡山路,衡山路,87,0,Null,1,2,0,138037,暂无信息,31.2222,121.459,{延庆路38号},5011000011073,0.282278890847
华钜御庭（三期）（公寓）,惠南,惠南,2,1.4,板楼,279,10,40,29603,上海颐和置业有限公司,31.0626,121.781,{拱北路399弄29支弄},5011102206891,0.282263525625
昭化东路309号,新华路,新华路,Null,0,Null,1,2,0,Null,暂无信息,31.219,121.438,{昭化东路309号},5011000007859,Null
铁砂花苑,新桥,新桥,17,0,Null,2,3,0,12737,暂无信息,31.0879,121.274,{洞泾镇路596弄},5011000010023,0.282309807516
嵩山路109号,新天地,新天地,Null,0,Null,0,1,0,Null,暂无信息,31.228,121.483,{嵩山路109号},509821540319430,Null
紫薇茗庭,泗泾,泗泾,Null,0,Null,1991,18,0,16952,暂无信息,31.0986,121.253,{王家厍路55弄},5011000019930,0.148332297493
中山二路303号,松江老城,松江老城,34,0,Null,13,2,0,17632,暂无信息,31.0158,121.232,{中山二路303号},5011000019868,0.282257579102
淮海坊,淮海中路,淮海中路,106,1.8,Null,84,147,35,98926,比利时教会普爱堂,31.2224,121.468,{淮海中路927弄1-146号},5011000015642,0.061662584642
合景领峰,木渎,木渎,Null,2.2,塔楼/板楼,3496,16,37,20970,暂无信息,31.2793,120.533,{金枫路268号},2311054288353,0.497962179092
控江路1452号,控江路,控江路,Null,0,Null,1,1,0,Null,暂无信息,31.2825,121.53,{控江路1452号},5011102208899,Null
金虹桥井亭苑,金汇,金汇,13,1.8,Null,1582,133,35,56734,上海明泉企业(集团)有限公司开发,31.1732,121.378,{虹莘路3799弄},5011000011230,0.462783407451
石皮路61弄,川沙,川沙,22,0,Null,48,5,0,27084,暂无信息,31.202,121.709,{石皮路61弄},5011000003216,0.149674313226
渭南路143号,东外滩,东外滩,Null,0,Null,28,2,0,48564,暂无信息,31.2664,121.544,{渭南路143号},5011102208498,0.282255244755
景舒苑七村,浦江,浦江,10,0,Null,519,17,0,32080,浦城房地产开发经营有限公司,31.0807,121.499,{浦雪路351弄},5011000001868,0.337347739316
淡水路276号,新天地,新天地,Null,1,Null,1,2,10,Null,上海建房,31.2221,121.48,{淡水路276号},5011000002895,Null
天棚小区,四团,四团,22,0,Null,15,12,0,10000,暂无信息,30.9467,121.732,{川南奉公路8077弄},5011000014887,0.282314649937
五原路252弄,衡山路,衡山路,96,0,Null,59,18,0,117769,徐房物业开发商有限公司,31.2187,121.451,{五原路252弄},5011000010501,0.282264451705
金色航城,航头,航头,11,0,Null,1112,86,0,26585,暂无信息,31.0407,121.603,"{航头路1137弄,航头路1174弄,航头路1275弄,航头路1675弄,航头路1027弄}",5011000013761,0.0404316509956
延长中路415弄,大宁,大宁,29,0,Null,7,8,0,Null,暂无信息,31.2763,121.458,{延长中路415弄},5011000011335,Null
凤庆小区,老闵行,老闵行,29,1.2,Null,2136,146,35,19659,上海闵碧有限公司,31.0195,121.409,{碧江路501弄},5011000012733,0.345936582059
渔阳里,淮海中路,淮海中路,107,0,Null,38,60,0,80573,暂无信息,31.2261,121.475,"{老重庆中路64弄,淮海中路567弄}",5011000015314,0.278704772804
慈寿里,新天地,新天地,28,2.5,板楼,5,5,30,82668,哦兼顾艰苦,31.2228,121.48,{淡水路225弄},5011000003010,0.282261515551
外滩109,北外滩,北外滩,Null,0,Null,6,2,0,43678,暂无信息,31.2557,121.509,{高阳路109号},5011102208506,0.282276331455
邮电新村,曲阳,曲阳,63,3,Null,1439,119,20,51579,中国电信股份有限公司,31.2761,121.503,{四平路621弄},5011000017664,0.264582623394
新理想家园,大宁,大宁,14,3,Null,448,23,35,62639,上海通乐房地产有限公司,31.2734,121.463,{洛川中路600弄},5011000015401,0.390162090383
江阴路166弄,人民广场,人民广场,Null,0,Null,1,2,0,120490,暂无信息,31.2355,121.475,{江阴路166弄},509821540319567,0.282281094941
同济大厦,淞宝,淞宝,Null,0,Null,19,2,0,26015,暂无信息,31.3772,121.5,{淞滨路666号},5011102210363,-0.00742465371286
人民新村,惠南,惠南,52,1.5,Null,838,55,30,19762,周康房产开发有限公司,31.054,121.764,{人民新村},5011000000469,0.099913065077
万科琥珀臻园,罗店,罗店,5,1,Null,567,276,40,31319,万科集团,31.4019,121.373,{抚远路538弄},5011000011782,0.16324846284
祥平公寓,朱家角,朱家角,19,0,Null,59,7,0,22107,暂无信息,31.1155,121.069,{祥凝浜路258弄},5011000003960,0.471474353171
绅园,昆山,昆山,Null,0,Null,2,3,0,Null,暂无信息,31.348,120.998,{湖滨路118号},5011000005105,Null
延庆路92号,衡山路,衡山路,Null,0,Null,4,2,0,Null,暂无信息,31.2216,121.458,{延庆路92号},5011000006710,Null
茂兴大厦,塘桥,塘桥,21,3.5,Null,334,3,30,54662,潍坊物业,31.2166,121.522,{塘桥新路182弄},5011000015027,0.441105965939
沂南路42弄,南码头,南码头,31,0,Null,120,7,0,43199,上海建工集团,31.2031,121.515,{沂南路42弄},5011000019454,0.282259297273
太原路234弄,建国西路,建国西路,Null,0,Null,2,2,0,Null,暂无信息,31.2151,121.461,{太原路234弄},5011000009083,Null
淞泽家园（四区）,车坊,车坊,Null,1.4,Null,1239,47,30,15687,暂无信息,31.2541,120.746,{普惠路与惠成街交汇处},2311052793174,0.275076811856
画锦坊,南门,南门,Null,0,Null,1,1,0,24638,Null,31.2967,120.621,{新市路405号},2310456754302186,0.0876658834431
襄阳北路44弄,静安寺,静安寺,88,0,Null,20,14,0,92425,暂无信息,31.2258,121.461,{襄阳北路44弄},5011000007904,0.282277109863
嘉康坊,菊园新区,菊园新区,19,0,Null,441,37,0,21199,暂无信息,31.4024,121.26,{棋盘路1110弄},5011000001798,0.00785134082564
齐齐哈尔路800号,东外滩,东外滩,78,0,Null,13,2,0,Null,暂无信息,31.2705,121.533,{齐齐哈尔路800号},5011000000782,Null
金峰大厦,不夜城,不夜城,20,2.2,Null,231,2,38,55616,暂无信息,31.2459,121.465,{恒丰路31号},5011000018000,0.182722789022
杏花新苑,花木,花木,22,0,Null,192,13,0,62009,上海东源房地产开发经营有限公司,31.2077,121.555,"{杜鹃路150弄,"" 龙东路150弄""}",5011000013993,0.22801429062
金湖阁,东环,东环,Null,0,板楼,71,4,0,21929,暂无信息,31.3123,120.66,{金鸡湖路1250号},239821887922292,0.186422321514
佳源名人公馆,奉城,奉城,Null,1.5,板楼,257,11,35,13467,Null,30.91,121.648,{奉贤兰博路3069弄2-7、9-14号（近邮电路）},5011063661255,0.230415367765
静修路66弄,老西门,老西门,Null,0,Null,2,2,0,123602,暂无信息,31.2252,121.494,{静修路66弄},5011000000712,0.282283846557
辰弘佳苑,松江新城,松江新城,4,0.8,板楼,626,312,35,26572,上海黄浦投资集团置地有限公司,31.0403,121.187,{弘翔路556弄},5011000000473,0.359175027766
淮海中路1176号,衡山路,衡山路,Null,0,Null,1,2,0,95576,暂无信息,31.2209,121.46,{淮海中路1176号},5011000010174,0.282265676183
瞿溪路129弄,蓬莱公园,蓬莱公园,Null,0,Null,9,3,0,58855,正瞿发展集团,31.2124,121.501,{瞿溪路129弄},5011000006183,0.28229042903
塔城东路255弄,新成路,新成路,19,0,Null,426,35,0,19242,暂无信息,31.3943,121.277,{塔城东路255弄},5011000001657,0.282250848787
天通庵路683号,四川北路,四川北路,26,0,Null,35,2,0,39077,暂无信息,31.27,121.484,{天通庵路683号},5011102208777,0.282269015589
元件四村,黄兴公园,长兴岛,Null,0,Null,0,1,0,Null,暂无信息,31.4148,121.676,{元件四村},5011000018861,Null
临芳苑四区,跨塘,跨塘,Null,0,Null,1056,9,0,16189,暂无信息,31.3517,120.69,{杨东路临芳苑四区},2311053715519,0.280529527689
上南路6881弄,康桥,康桥,Null,0,Null,1,2,0,Null,暂无信息,31.1258,121.572,{上南路6881弄},5011000020115,Null
大连西路15号,曲阳,曲阳,46,0,Null,2,2,0,Null,上海虹房（集团）有限公司,31.2815,121.506,{大连西路15号},5011102208813,Null
锦绣苑,杨东,杨东,17,1.5,Null,478,42,35,58603,上海东岸房地产开发有限公司,31.2114,121.548,{浦建路1288弄},5011000015913,0.34937760387
富岩路230弄,马桥,马桥,8,0,Null,156,17,0,21266,上海申马房地产开发有限公司,31.0351,121.378,{富岩路230弄},5011000019611,0.282259003576
庆阳小区,临平路,临平路,33,1.3,Null,93,6,35,37925,上海永明房产有限公司,31.2672,121.496,{四平路180弄},5011000004861,0.200877500878
广元路155号,徐家汇,徐家汇,21,0,Null,17,2,0,Null,暂无信息,31.2051,121.445,{广元路155号},5011000000085,Null
华理苑,华东理工,华东理工,20,2,,910,59,30,48582,新华房产开发有限公司,31.1497,121.427,"{梅陇路130号,梅陇路华理苑}",5011000012016,0.365026056746
方德路201弄,安亭,安亭,Null,0,Null,0,1,0,Null,暂无信息,31.3214,121.237,{方德路201弄},5011000019770,Null
龙兴苑,龙柏,龙柏,14,1,Null,60,7,40,37638,上海县房地产总公司、上海神隆房产开发有限公司,31.1858,121.373,{白樟路350弄},5011000010641,0.231857114401
南李苑,Null,Null,Null,0,Null,Null,Null,0,Null,暂无信息,0,0,Null,5011000009791,Null
福海小区,人民广场,人民广场,42,1,Null,269,12,10,78279,上海华商房产发展公司,31.2435,121.476,"{温州路11弄,温州路41弄,温州路49弄,黄河路238弄,黄河路240-244号}",5011000013731,0.443327616416
珠江香樟园,周家嘴路,周家嘴路,13,2.5,Null,945,35,35,64838,上海珠江投资有限公司,31.2782,121.549,{河间路827弄},5011000017776,0.462770259008
东港花苑,祝桥,祝桥,19,0,Null,364,42,0,18908,上海祝桥新镇投资发展有限公司,31.1151,121.771,{广益路15弄},5011000000159,0.219024219024
新乐路33号,衡山路,衡山路,86,0,Null,4,2,0,118454,暂无信息,31.2244,121.464,{新乐路33号},5011000011851,0.282284075977
宛南二村,龙华,龙华,58,1.9,Null,554,27,25,61694,政府,31.1887,121.456,"{宛南二村,中山南二路941号,中山南二路945弄}",5011000014195,0.272362938056
东寅公寓,永和,永和,53,0,板楼,692,65,0,35406,上海广开房地产开发有限公司,31.3085,121.44,{场中路3300弄},5011000016944,0.470102718072
内江路482号,周家嘴路,周家嘴路,31,0,Null,2,2,0,40476,暂无信息,31.2921,121.551,{内江路482号},5011102209388,0.282271503653
复兴苑,新天地,新天地,18,2,Null,383,3,10,81027,上海复兴建设发展有限公司,31.2195,121.481,{合肥路289弄},5011000017896,0.264928906547
金色黄浦,老西门,老西门,12,4.3,Null,143,2,15,77074,上海南鼎置业有限公司,31.2196,121.488,{唐家湾路158号},5011000016472,0.24691188724
东沟三村,金桥,金桥,23,1,Null,408,23,34,35592,浦东房地产开发公司,31.2997,121.582,{东沟三村1-23号},5011000014772,0.271898674242
公馆77,老西门,老西门,7,3.2,Null,270,6,35,90251,上海新浦市政开发建设有限公司,31.2191,121.489,{建国新路77弄},5011000014613,0.156647958748
镇宁路55弄,镇宁路,镇宁路,27,0,Null,4,4,0,Null,暂无信息,31.2223,121.445,{镇宁路55弄},5011000007975,Null
海虹苑,凉城,凉城,18,5.57,Null,68,5,30,43427,广虹房地产开发中心,31.2879,121.486,{广灵一路39弄},5011000013724,0.474025752985
中实新村,静安寺,静安寺,80,0,Null,28,41,30,105471,暂无信息,31.2273,121.445,"{愚园路581号,愚园路579弄}",5011000017147,0.126324677732
