community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,community_id,lat,lng,growth,address
武康路274号,衡山路,衡山路,86,1.2,Null,4,2,37,74855,徐房建筑,5011000008971,31.2143,121.446,0.28227376699,{武康路274号}
百龙新村,康桥,康桥,20,1.5,Null,11,6,30,18383,周康置业,5011000011613,31.1467,121.624,0.153054998693,{百龙新村}
颛桥教师楼,颛桥,颛桥,Null,0,Null,2,2,0,24468,暂无信息,5011102207020,31.0767,121.409,0.18338349799,{老沪闵路3196弄}
长乐路892号,静安寺,静安寺,Null,0,Null,4,3,0,100918,暂无信息,5011102207859,31.2224,121.453,0.28228662637,{长乐路892号}
航华三村四街坊,航华,航华,20,0,Null,1182,98,0,39489,Null,5010022184563016,31.1712,121.356,0.256761033937,{航华三村227-367号}
昆山路120号,北外滩,北外滩,Null,0,Null,2,2,0,34009,暂无信息,5011000005800,31.2556,121.495,0.282318185286,{昆山路120号}
凌兆新村（凌兆路379弄）,三林,三林,21,1.45,Null,1437,84,40,46041,三林地产开发有限公司,5011000001729,31.1486,121.504,0.282262546581,{凌兆路379弄}
宝地新品居,天山,天山,12,2.1,Null,180,6,40,74424,上海宝地长山房地产开发有限公司,5011000013932,31.2208,121.387,0.38653453734,{双流路188弄1-6号}
中邦大都会,康桥,康桥,5,2.3,,670,9,35,47186,中邦置业集团有限公司,5011000000377,31.1418,121.58,0.2822862598,{康沈路633弄}
建国西路136号,淮海中路,淮海中路,Null,0,Null,1,2,0,Null,暂无信息,5011000009883,31.2136,121.471,Null,{建国西路136号}
