name,adcode
百亩田,330100
武广新,430100
金府,510100
长兴,440100
中山八,440100
新港西,440100
亚运城,440100
甘井子其它,210200
北岗桥,210200
武林,330100
萧山周边,330100
桃源,210200
大港小港,370200
友好青泥,210200
马王乡,500000
果园新村,120000
欢乐谷,110000
木樨园,110000
卫岗,320100
莲塘,440300
理工大,510100
金马,210200
双浦,330100
西湖景区,330100
十里河,110000
黄阁,440100
景芳,330100
桥西,330100
静居寺,510100
温江新城,510100
农讲所,440100
江燕路,440100
石基,440100
黄石路,440100
钟落谭,440100
银盆岭,430100
文三街,330100
新天地,330100
采荷,330100
未来城,330100
中泰,330100
东花市,110000
六铺炕,110000
SM广场,510100
温江老城,510100
坑口,440100
鱼嘴,500000
界石,500000
永川,500000
乔司东,330100
文化村,330100
闫家山,370200
悦来,500000
六公里,500000
磁器口,500000
烈士墓,500000
天星桥,500000
巴国城,500000
石桥铺,500000
建设村,500000
綦江,500000
未来科技城,330100
茶园新区,500000
鱼洞,500000
步行街,500000
丝绸城,330100
两路,500000
大学城,500000
白市驿,500000
黄桷坪,500000
丰都,500000
万柳,110000
新街口,110000
乔庄,110000
百善镇,110000
礼嘉,500000
石子山,500000
新牌坊,500000
沙正街,500000
动物园,500000
武隆县,500000
东坝,110000
奥林匹克公园,110000
黄村中,110000
望亭,320500
汾湖,320500
张家港,320500
地安门,110000
华威桥,110000
西山,110000
立水桥,110000
吴淞江产业园,320500
平望,320500
酒仙桥,110000
城关,110000
民主广场,210200
植物园,320500
常熟,320500
龙溪,500000
通州北苑,110000
通安,320500
光福,320500
南双湖,320500
北桥,320500
盛泽,320500
小汤山,110000
天宫院,110000
顺义城,110000
石门营,110000
延庆其它,110000
高铁新城,320500
横扇,320500
桃源,320500
琉璃河,110000
怀柔其它,110000
宁园,120000
月牙河,120000
渤海石油街,120000
安贞,110000
华侨路,320100
小市,320100
南湖,320100
来凤里,320100
红山,320100
新津,510100
热河南路,320100
应天西路,320100
夫子庙,320100
月牙湖,320100
后宰门,320100
宁南,320100
晓庄,320100
樱驼花园,320100
东山镇,320100
科学园,320100
高新区,320100
六合其它,320100
三牌楼,320100
许府巷,320100
湖西街,320100
南苑,320100
常府街,320100
洪家园,320100
升州路,320100
长江路,320100
锁金村,320100
九龙湖,320100
能仁里,320100
迈皋桥,320100
仙林,320100
尧化门,320100
月苑,320100
岔路口,320100
顶山街道,320100
桥北,320100
北京东路,320100
浦口其它,320100
涪陵,500000
枣园,110000
挹江门,320100
南邵,110000
安德门,320100
小行,320100
栖霞其它,320100
江宁其它,320100
江浦街道,320100
泰山街道,320100
华润海中国,210200
东山,210200
石化,310000
女姑,370200
金沙滩,370200
梅江,120000
广渠门,110000
魏公村,110000
丽都,510100
流亭,370200
翠云,500000
甘露园,110000
天通苑,110000
窦店,110000
生态科技城,210200
西岗其它,210200
时代城,210200
文登路,370200
弹子石,500000
双环邨,120000
营门口,510100
华南,210200
辛寨子,210200
马栏,210200
虎滩,210200
山屏街,210200
华府,210200
石道街,210200
东城,210200
金州其他,210200
东西湖其它,420100
武昌火车站,420100
湖岛,370200
厂洼,110000
马连洼,110000
成外,510100
东山,510100
体育新城,210200
孙家沟,210200
新南湖,420100
植物园,330100
崂山风景区,370200
马家堡,110000
新双楠,510100
开发区,440100
开福其他,430100
中南汽车世界,430100
大连湾,210200
太仓,310000
海珠广场,440100
候家塘,430100
洋湖垸,430100
青竹湖,430100
火车站,430100
星沙其他,430100
体院虎泉,420100
烈士公园,430100
胶南,370200
香江路,370200
八大关,370200
松山后,370200
远洋广场,370200
李沧万达,370200
浮山后,370200
海泊河,370200
汽车西站,430100
王家湾,430100
市一中,430100
沙太南,440100
高桥,430100
跳马,430100
河西人人乐,430100
梅溪湖北岸,430100
省政府,430100
开福区政府,430100
德政园,430100
松桂园,430100
牧马山,510100
崇文门,110000
琉璃场,510100
外金沙,510100
玉林,510100
成渝立交,510100
万年场,510100
华阳,510100
犀浦,510100
城南宜家,510100
国宾,510100
麓山,510100
珠江新城,510100
黄岛轮渡,370200
中央CBD,370200
青岛北站,370200
下王埠,370200
雕塑园,370200
麦岛,370200
颐中体育场,370200
河西,370200
四方实验小区,370200
城阳工业园,370200
家佳源,370200
灵山卫,370200
东升镇,510100
中海国际,510100
五羊新城,440100
管庄,110000
小西天,110000
蓝谷地,510100
八宝街,510100
光华泡小,510100
高升桥,510100
火车南站,510100
八里小区,510100
建设路,510100
华侨城,510100
马鞍路,510100
四河,510100
东直门,110000
劲松,110000
沙子口,370200
张村,370200
科技大学,370200
河套,370200
胶州,370200
莱西,370200
川音,510100
中山公园,370200
新都心,370200
红石崖,370200
银沙滩,370200
红岛,370200
石滩镇,440100
惜福镇,370200
平度,370200
北工大,110000
湘江世纪城,430100
八大湖,370200
西镇,370200
龙口东,440100
台东,370200
中山路,370200
东韩,370200
青大东校区,370200
北岭,370200
沙岭庄,370200
安子片区,370200
柳花泊,370200
