count,价格
1,2000
15,4000
132,6000
273,8000
293,10000
370,12000
454,14000
615,16000
741,18000
774,20000
576,22000
507,24000
502,26000
514,28000
557,30000
583,32000
531,34000
532,36000
579,38000
632,40000
668,42000
714,44000
658,46000
660,48000
639,50000
490,52000
512,54000
479,56000
463,58000
369,60000
348,62000
344,64000
259,66000
271,68000
247,70000
250,72000
175,74000
201,76000
167,78000
129,80000
133,82000
132,84000
122,86000
98,88000
98,90000
81,92000
94,94000
124,96000
94,98000
153,100000
83,102000
63,104000
44,106000
34,108000
48,110000
19,112000
31,114000
23,116000
45,118000
29,120000
23,122000
30,124000
14,126000
16,128000
23,130000
6,132000
11,134000
17,136000
9,138000
14,140000
9,142000
18,144000
1,146000
2,148000
6,150000
6,152000
1,154000
3,156000
3,158000
12,160000
3,162000
6,164000
2,166000
4,168000
1,170000
12,172000
3,174000
2,176000
4,178000
2,180000
1,182000
2,184000
3,186000
2,188000
2,190000
3,192000
2,194000
1,196000
3,198000
1,200000
1,202000
2,206000
1,210000
1,214000
2,220000
3,222000
1,224000
1,232000
1,236000
1,248000
2,250000
1,252000
1,256000
1,278000
1,316000
1,330000
1,342000
1,374000
1,378000
