t,y,x1,x2,x3,x4,x5,x6,x7
1998,3021,25206,8773,4152,1527,1963.51,404.96,113.6
1999,3176,27071,10932,4040,1567,1731.55,378.82,105.9
2000,3326,30047,11718,3895,1608.6,1724.02,443.9,103.3
2001,3659,31799,12883,3840,1668.33,1743.9,466.71,102.3
2002,4007,33958,13250,3790,1712.97,1880.5,584.51,100
2003,4989,38486,14867,3754,1765.84,2280.79,694.3,101.1
2004,6385,44839,16683,3788,1834.98,3270.43,922.61,101.6
2005,6698,49648,18645,3767,1890.26,2819.35,936.36,102.9
2006,8237,54858,20668,3774,1964.11,2746.8,854.15,102.9
2007,10292,62040,23623,3865,2063.58,2843.62,853.13,104.5
2008,13411,66932,26675,4071,2140.65,1899.4,871.52,102.5
2009,15800,69165,28838,4048,2210.28,1522.07,922.81,96.6
2010,19276,76074,31838,4117,2302.66,1415.44,1232.96,103.5
2011,24595,82560,36230,4284,2347.46,1581.03,1403.13,105.4
